Список доступных макросов
Макро	Описание
{aff_click_id}	Идентификатор партнерского клика. Уникальный идентификатор для каждого клика, совершенного партнером.
{offer_id}	Идентификатор предложения на платформе
{affiliate_id}	Идентификатор партнера, продвигающего данное предложение.
{sub_id1}	Идентификатор партнерской ссылки 1 указан в отслеживающей ссылке.
{sub_id2}	Идентификатор партнерской ссылки (Affiliate Sub ID 2) указан в отслеживающей ссылке.
{sub_id3}	Идентификатор партнерской ссылки 3 указан в отслеживающей ссылке.
{sub_id4}	Идентификатор партнерской ссылки 4 указан в отслеживающей ссылке.
{sub_id5}	Идентификатор партнерской ссылки 5 указан в отслеживающей ссылке.
{aff_param1}	Партнерский дополнительный параметр 1, указанный в отслеживающей ссылке.
{aff_param2}	Дополнительный параметр 2 партнерской программы указан в отслеживающей ссылке.
{aff_param3}	Партнерский дополнительный параметр 3, указанный в отслеживающей ссылке.
{aff_param4}	Дополнительный параметр 4 партнерской программы указан в отслеживающей ссылке.
{aff_param5}	Дополнительный параметр 5 партнерской программы указан в отслеживающей ссылке.
{link_id}	Предложите дополнительную ссылку, указанную в отслеживающей ссылке.
{deep_link}	Гиперссылка используется для перенаправления пользователей на определенную страницу, раздел или контент на веб-сайте или в мобильном приложении, а не просто на главную страницу или общую целевую страницу.
{creative_id}	Использован креативный идентификатор предложения.
{goal_id}	Идентификатор цели предложения на платформе.
{goal_name}	Целевое название предложения на платформе.
{goal_alias}	Псевдоним цели предложения на платформе.
{offer_name}	Название предложения на платформе.
{offer_currency}	Валюта выбранного предложения.
{adv_order_id}	Идентификатор заказа рекламодателя, указанный при конверсии.
{adv_user_id}	Идентификатор пользователя рекламодателя указывается при конверсии. Идентификатор игрока/трейдера указывается при начислении комиссии.
{adv_param1}	Дополнительный параметр 1 рекламодателя указывается при конверсии.
{adv_param2}	Дополнительный параметр 2 рекламодателя указывается при конверсии.
{adv_param3}	Дополнительный параметр 3 рекламодателя указывается при конверсии.
{adv_param4}	Дополнительный параметр 4 рекламодателя указывается при конверсии.
{adv_param5}	Дополнительный параметр 5 рекламодателя указывается при конверсии.
{количество}	Сумма продажи/сумма депозита на стороне рекламодателя.
{выплата}	Размер выплат/комиссионных партнера
{conv_status}	Статус конверсии (одобрено / ожидание / отклонено / удалено).
{transaction_id}	Идентификатор транзакции. Уникальный идентификатор для каждой транзакции на платформе.
{ip}	IP-адрес, с которого началась сессия кликов.
{user_agent}	Строка агента пользователя определяется в момент клика.
{device_type}	Строка адреса устройства пользователя определяется в момент клика.
{device_os}	Строка операционной системы пользователя определяется в момент клика.
{connection_type}	Строка типа подключения пользователя определяется в момент клика.
{mobile_operator}	Строка адреса мобильного оператора пользователя определяется в момент клика.
{geo_country_code}	Код страны пользователя определяется в момент клика.
{geo_country}	Страна пользователя определяется в момент клика.
{гео_регион}	Регион пользователя определяется в момент клика.
{гео_город}	Город пользователя определяется в момент клика.
{idfa}	Рекламный идентификатор Apple iOS (IDFA).
{gaid}	Идентификатор рекламы Google Android (GAID).
